Point ID,MaterialIDs,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,temperature_BHE1_0,temperature_BHE1_1,temperature_BHE1_2,temperature_BHE1_Magnitude,temperature_soil,vtkValidPointMask
70,0,0,20,-28.76,35.0305,11.76,288.987,286.233,285.659,497.034,285.654,1
71,0,0,20,-28.928,35.1686,11.928,288.984,286.232,285.658,497.032,285.653,1
72,0,0,20,-29.096,35.3069,12.096,288.982,286.232,285.658,497.031,285.653,1
73,0,0,20,-29.264,35.4455,12.264,288.98,286.234,285.659,497.031,285.654,1
74,0,0,20,-29.432,35.5843,12.432,288.978,286.235,285.66,497.032,285.655,1
75,0,0,20,-29.6,35.7234,12.6,288.976,286.237,285.661,497.032,285.656,1
76,0,0,20,-29.768,35.8627,12.768,288.974,286.238,285.662,497.032,285.657,1
77,0,0,20,-29.936,36.0023,12.936,288.972,286.24,285.663,497.032,285.658,1
78,0,0,20,-30.104,36.1421,13.104,288.969,286.24,285.663,497.031,285.658,1
79,0,0,20,-30.272,36.2821,13.272,288.967,286.239,285.662,497.029,285.657,1
80,0,0,20,-30.44,36.4224,13.44,288.965,286.238,285.661,497.026,285.656,1
81,0,0,20,-30.608,36.563,13.608,288.962,286.238,285.66,497.024,285.656,1
82,0,0,20,-30.776,36.7037,13.776,288.96,286.237,285.659,497.022,285.655,1
83,0,0,20,-30.944,36.8447,13.944,288.958,286.236,285.659,497.02,285.654,1
84,0,0,20,-31.112,36.9859,14.112,288.956,286.237,285.659,497.019,285.654,1
85,0,0,20,-31.28,37.1273,14.28,288.954,286.238,285.66,497.019,285.655,1
86,0,0,20,-31.448,37.269,14.448,288.951,286.24,285.661,497.02,285.656,1
87,0,0,20,-31.616,37.4108,14.616,288.949,286.241,285.662,497.02,285.657,1
88,0,0,20,-31.784,37.5529,14.784,288.947,286.243,285.663,497.02,285.658,1
89,0,0,20,-31.952,37.6952,14.952,288.945,286.244,285.664,497.02,285.659,1
90,0,0,20,-32.12,37.8377,15.12,288.943,286.244,285.664,497.019,285.659,1
91,0,0,20,-32.288,37.9805,15.288,288.941,286.244,285.663,497.017,285.658,1
92,0,0,20,-32.456,38.1234,15.456,288.938,286.243,285.662,497.014,285.658,1
93,0,0,20,-32.624,38.2665,15.624,288.936,286.242,285.662,497.012,285.657,1
94,0,0,20,-32.792,38.4098,15.792,288.934,286.241,285.661,497.01,285.656,1
95,0,0,20,-32.96,38.5534,15.96,288.931,286.241,285.66,497.008,285.655,1
96,0,0,20,-33.128,38.6971,16.128,288.929,286.242,285.661,497.007,285.656,1
97,0,0,20,-33.296,38.841,16.296,288.927,286.243,285.662,497.008,285.657,1
98,0,0,20,-33.464,38.9851,16.464,288.925,286.245,285.663,497.008,285.658,1
99,0,0,20,-33.632,39.1294,16.632,288.923,286.246,285.664,497.008,285.659,1
100,0,0,20,-33.8,39.2739,16.8,288.921,286.248,285.665,497.009,285.66,1
101,0,0,20,-33.968,39.4186,16.968,288.919,286.249,285.666,497.009,285.661,1
102,0,0,20,-34.136,39.5634,17.136,288.917,286.249,285.666,497.007,285.661,1
103,0,0,20,-34.304,39.7085,17.304,288.914,286.249,285.665,497.005,285.66,1
104,0,0,20,-34.472,39.8537,17.472,288.912,286.248,285.664,497.003,285.659,1
105,0,0,20,-34.64,39.9991,17.64,288.91,286.247,285.663,497.001,285.659,1
106,0,0,20,-34.808,40.1447,17.808,288.908,286.247,285.663,496.999,285.658,1
107,0,0,20,-34.976,40.2905,17.976,288.905,286.246,285.662,496.997,285.657,1
108,0,0,20,-35.144,40.4364,18.144,288.903,286.247,285.663,496.997,285.658,1
109,0,0,20,-35.312,40.5825,18.312,288.901,286.249,285.664,496.997,285.659,1
110,0,0,20,-35.48,40.7287,18.48,288.899,286.25,285.665,496.997,285.66,1
111,0,0,20,-35.648,40.8752,18.648,288.897,286.252,285.666,496.998,285.661,1
112,0,0,20,-35.816,41.0218,18.816,288.895,286.253,285.667,496.998,285.662,1
